"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","NUM_COLLISIONS"
"156",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,51.9,47.1,0.707207207207207
"157",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,52.6,41.5,0.466216216216216
"158",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,35,16.8,0.704954954954955
"159",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,38.8,30.9,0.916666666666667
"160",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,47.3,46,0.614864864864865
"161",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,46.2,41.7,0.533783783783784
"162",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,50.3,49.5,0.702702702702703
"163",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,50.1,43.2,0.61036036036036
"164",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,40.1,23.6,0.547297297297297
"165",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,40.3,24.6,0.536036036036036
"166",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,41.4,23.2,0.768018018018018
"167",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,42.6,27.1,0.486486486486487
"168",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,44.5,37.8,0.434684684684685
"169",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,42,40.4,0.77027027027027
"170",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,47.3,44.5,0.761261261261261
"171",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,44,30.5,0.637387387387387
"172",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,39.8,29,0.673423423423423
"173",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,47.3,42.9,1
"174",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,37.4,25,0.529279279279279
"175",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,37.8,20.5,0.227477477477477
"176",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,37,19.8,0.475225225225225
"177",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,37.5,32.5,0.105855855855856
"178",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,32.2,25.3,0.504504504504504
"179",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,39.1,37.1,0.490990990990991
"180",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,33,22.4,0.563063063063063
"181",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,32.5,26.2,0.304054054054054
"182",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,32.4,21.1,0.234234234234234
"183",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,31.5,17.2,0.394144144144144
"184",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,37.8,23.6,0.0596330275229358
"185",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,27.1,10.5,0.286697247706422
"186",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,28.4,14.1,0.444954128440367
"187",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,33.4,18.6,0.344036697247706
"188",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,36.1,18.7,0.0779816513761468
"189",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,38.3,25,0.0871559633027523
"190",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,40.9,23.8,0.380733944954128
"191",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,40.7,25.4,0.362385321100917
"192",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,43.8,30.8,0.302752293577982
"193",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,44.3,25.4,0.458715596330275
"194",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,40.5,27.1,0.69954128440367
"195",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,44.6,43,0.275229357798165
"196",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,45.3,43.1,0.0412844036697248
"197",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,52.5,45.4,0.428899082568807
"198",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,37.9,27.9,0.369266055045872
"199",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,34.2,30,0.511467889908257
"200",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,39.2,28,0.311926605504587
"201",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,30.2,12.2,0.472477064220183
"202",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,37.3,18.1,0.295871559633028
"203",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,45.3,23.4,0.0871559633027523
"204",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,29.8,9.3,0
"205",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,22.4,4,0.43348623853211
"206",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,14.4,-5.4,0.435779816513761
"207",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,16.8,-1.7,0.456422018348624
"208",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,17.1,1.5,0.731651376146789
"209",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,19.9,9.2,0.465596330275229
"210",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,24.5,7.5,0.169724770642202
"211",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,31.8,19,0.348623853211009
"212",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,40.3,35.3,0.428899082568807
"213",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,45.7,42.9,0.325688073394495
"214",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,49.1,36.5,0.543577981651376
"215",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,29.3,9.5,0.502293577981651
"216",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,24.1,6.5,0.410550458715596
"217",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,26.5,18,0.206422018348624
"218",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,26.8,10.5,0.454128440366972
"219",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,29.1,20.3,0.48394495412844
"220",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,33.3,23.1,0.48394495412844
"221",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,29.3,6.2,0.392201834862385
"222",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,32.3,26.2,0.798165137614679
"223",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,28.8,21,0.110091743119266
"224",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,25.2,8.5,0.103211009174312
"225",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,38.5,32.4,0.275229357798165
"226",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,41.9,28.8,0.327981651376147
